s_m,s_ft,z_m_navd88,z_ft_navd88
59.50,195.21,182.310,598.129
60.00,196.85,182.315,598.145
60.50,198.49,182.326,598.183
61.00,200.13,182.356,598.280
61.50,201.77,182.384,598.372
62.00,203.41,182.408,598.451
62.50,205.05,182.443,598.567
63.00,206.69,182.482,598.694
63.50,208.33,182.539,598.880
64.00,209.97,182.581,599.020
64.50,211.61,182.613,599.123
65.00,213.25,182.630,599.181
65.50,214.90,182.636,599.199
66.00,216.54,182.632,599.187
66.50,218.18,182.629,599.178
67.00,219.82,182.632,599.187
67.50,221.46,182.638,599.206
68.00,223.10,182.642,599.220
68.50,224.74,182.646,599.231
69.00,226.38,182.649,599.241
69.50,228.02,182.652,599.253
70.00,229.66,182.657,599.267
70.50,231.30,182.661,599.282
71.00,232.94,182.665,599.295
71.50,234.58,182.669,599.308
72.00,236.22,182.673,599.320
72.50,237.86,182.676,599.331
73.00,239.50,182.680,599.344
73.50,241.14,182.684,599.357
74.00,242.78,182.688,599.371
74.50,244.42,182.693,599.387
75.00,246.06,182.696,599.397
75.50,247.70,182.700,599.408
76.00,249.34,182.704,599.421
76.50,250.98,182.707,599.432
77.00,252.62,182.711,599.446
77.50,254.27,182.715,599.460
78.00,255.91,182.719,599.471
78.50,257.55,182.722,599.483
79.00,259.19,182.727,599.498
79.50,260.83,182.731,599.510
80.00,262.47,182.736,599.527
80.50,264.11,182.742,599.546
81.00,265.75,182.746,599.561
81.50,267.39,182.752,599.579
82.00,269.03,182.756,599.592
82.50,270.67,182.759,599.603
83.00,272.31,182.768,599.632
83.50,273.95,182.774,599.652
84.00,275.59,182.782,599.679
84.50,277.23,182.797,599.729
85.00,278.87,182.817,599.792
85.50,280.51,182.859,599.929
86.00,282.15,182.923,600.142
86.50,283.79,182.995,600.377
87.00,285.43,183.066,600.611
87.50,287.07,183.150,600.887
88.00,288.71,183.229,601.144
88.50,290.35,183.297,601.367
89.00,291.99,183.352,601.550
89.50,293.64,183.408,601.731
90.00,295.28,183.449,601.868
90.50,296.92,183.455,601.888
91.00,298.56,183.465,601.920
91.50,300.20,183.478,601.960
92.00,301.84,183.483,601.977
92.50,303.48,183.486,601.989
93.00,305.12,183.486,601.989
93.50,306.76,183.487,601.990
94.00,308.40,183.495,602.019
94.50,310.04,183.503,602.045
95.00,311.68,183.510,602.068
95.50,313.32,183.514,602.080
96.00,314.96,183.509,602.064
96.50,316.60,183.499,602.030
97.00,318.24,183.488,601.996
97.50,319.88,183.482,601.974
98.00,321.52,183.472,601.942
98.50,323.16,183.467,601.924
99.00,324.80,183.465,601.920
99.50,326.44,183.464,601.916
100.00,328.08,183.467,601.925
100.50,329.72,183.473,601.945
101.00,331.36,183.480,601.969
101.50,333.01,183.484,601.982
102.00,334.65,183.483,601.977
102.50,336.29,183.516,602.088
103.00,337.93,183.550,602.199
103.50,339.57,183.582,602.304
104.00,341.21,183.618,602.421
104.50,342.85,183.664,602.572
105.00,344.49,183.696,602.676
105.50,346.13,183.712,602.730
106.00,347.77,183.734,602.800
106.50,349.41,183.748,602.847
107.00,351.05,183.756,602.875
107.50,352.69,183.768,602.913
108.00,354.33,183.790,602.985
108.50,355.97,183.813,603.060
109.00,357.61,183.822,603.091
109.50,359.25,183.828,603.109
110.00,360.89,183.833,603.126
