s_m,s_ft,z_m_navd88,z_ft_navd88
59.50,195.21,72.232,236.983
60.00,196.85,72.509,237.891
60.50,198.49,72.804,238.859
61.00,200.13,73.116,239.882
61.50,201.77,73.430,240.914
62.00,203.41,73.748,241.955
62.50,205.05,74.068,243.004
63.00,206.69,74.389,244.059
63.50,208.33,74.707,245.102
64.00,209.97,75.022,246.136
64.50,211.61,75.265,246.934
65.00,213.25,75.448,247.531
65.50,214.90,75.537,247.825
66.00,216.54,75.546,247.853
66.50,218.18,75.544,247.847
67.00,219.82,75.533,247.811
67.50,221.46,75.526,247.789
68.00,223.10,75.523,247.778
68.50,224.74,75.578,247.958
69.00,226.38,75.691,248.331
69.50,228.02,75.968,249.238
70.00,229.66,76.415,250.704
70.50,231.30,76.878,252.225
71.00,232.94,77.356,253.794
71.50,234.58,77.772,255.157
72.00,236.22,78.118,256.294
72.50,237.86,78.479,257.477
73.00,239.50,78.856,258.715
73.50,241.14,79.257,260.030
74.00,242.78,79.684,261.431
74.50,244.42,80.086,262.749
75.00,246.06,80.456,263.965
75.50,247.70,80.830,265.191
76.00,249.34,81.214,266.449
76.50,250.98,81.615,267.766
77.00,252.62,82.039,269.158
77.50,254.27,82.415,270.389
78.00,255.91,82.707,271.347
78.50,257.55,82.911,272.017
79.00,259.19,82.981,272.249
79.50,260.83,83.022,272.381
80.00,262.47,83.020,272.376
80.50,264.11,83.023,272.384
81.00,265.75,83.033,272.418
81.50,267.39,83.039,272.438
82.00,269.03,83.039,272.436
82.50,270.67,83.030,272.410
83.00,272.31,83.009,272.340
83.50,273.95,82.981,272.247
84.00,275.59,82.938,272.107
84.50,277.23,82.881,271.920
85.00,278.87,82.795,271.636
85.50,280.51,82.694,271.307
86.00,282.15,82.566,270.887
86.50,283.79,82.428,270.432
87.00,285.43,82.267,269.906
87.50,287.07,82.098,269.351
88.00,288.71,81.909,268.729
88.50,290.35,81.720,268.112
89.00,291.99,81.534,267.501
89.50,293.64,81.349,266.892
90.00,295.28,81.165,266.291
90.50,296.92,80.984,265.697
91.00,298.56,80.808,265.117
91.50,300.20,80.628,264.529
92.00,301.84,80.444,263.924
92.50,303.48,80.265,263.338
93.00,305.12,80.102,262.803
93.50,306.76,79.951,262.306
94.00,308.40,79.840,261.942
94.50,310.04,79.733,261.591
95.00,311.68,79.644,261.299
95.50,313.32,79.564,261.037
96.00,314.96,79.515,260.877
96.50,316.60,79.472,260.735
97.00,318.24,79.455,260.680
97.50,319.88,79.440,260.631
98.00,321.52,79.435,260.614
98.50,323.16,79.430,260.596
99.00,324.80,79.421,260.568
99.50,326.44,79.411,260.534
100.00,328.08,79.393,260.475
100.50,329.72,79.380,260.432
101.00,331.36,79.385,260.449
101.50,333.01,79.389,260.464
102.00,334.65,79.391,260.471
102.50,336.29,79.392,260.473
103.00,337.93,79.386,260.453
103.50,339.57,79.380,260.432
104.00,341.21,79.373,260.409
104.50,342.85,79.367,260.390
105.00,344.49,79.366,260.386
105.50,346.13,79.365,260.383
106.00,347.77,79.366,260.386
106.50,349.41,79.365,260.384
107.00,351.05,79.354,260.349
107.50,352.69,79.344,260.315
