id,ax_az,lat_offset,sfx,sfy,bearing_to_aud,ang_mismatch,lat_off_aud,front_row_dist,dist_to_aud,min_c_mm,min_c_row,all_c_pass,audience_face_az,bay_view_delta,bay_blocked,ada_swale,earthwork_delta_cy,notes
az140_lat-20,140.0,-20.0,19533122.660269346,750760.7635300377,156.55457189844898,-16.554571898448984,14.686192495892245,33.10112643441987,51.54343964604809,114.0,18,True,320,-10.0,False,swale(advisory),53.8,C✓ min=114mm | MISMATCH=-17° | bay-10°(warn) | swale(edge)
az140_lat-10,140.0,-10.0,19533114.999824915,750754.3356539409,145.41823498360324,-5.4182349836032415,4.68619249607379,32.19248646831662,49.62864415459005,112.4,18,True,320,-10.0,False,swale(advisory),36.5,C✓ min=112mm | mismatch=-5°(minor) | bay-10°(warn) | swale(edge) | lat≈0
az140_lat+0,140.0,0.0,19533107.339380484,750747.907777844,133.86132542695862,6.138674573041385,-5.313807503819497,34.307838736750185,49.69183505048662,117.1,18,True,320,-10.0,False,swale(advisory),20.1,C✓ min=117mm | mismatch=+6°(minor) | bay-10°(warn) | swale(edge) | lat-5ft(minor)
az140_lat+10,140.0,10.0,19533099.678936053,750741.4799017471,122.77903106755532,17.22096893244469,-15.31380750371278,38.95766179529639,51.725763607145964,127.2,18,True,320,-10.0,False,swale(advisory),17.9,C✓ min=127mm | MISMATCH=+17° | bay-10°(warn) | swale(edge)
az145_lat-30,145.0,-30.0,19533128.453383144,750762.4596908761,163.27982136722645,-18.279821367226447,16.042530797828398,32.62538351220745,51.146559316431414,110.0,18,True,325,-5.0,False,swale(advisory),64.7,C✓ min=110mm | MISMATCH=-18° | bay✓ | swale(edge)
az145_lat-20,145.0,-20.0,19533120.261862703,750756.7239265125,152.09230691611404,-7.09230691611404,6.042530799090109,30.778731402998734,48.93996234037865,107.6,18,True,325,-5.0,False,swale(advisory),46.2,C✓ min=108mm | mismatch=-7°(minor) | bay✓ | swale(edge) | lat+6ft(minor)
az145_lat-10,145.0,-10.0,19533112.070342258,750750.9881621491,140.34141731404887,4.6585826859511315,-3.957469202632989,32.09742924875357,48.72647430336085,111.6,18,True,325,-5.0,False,swale(advisory),28.2,C✓ min=112mm | mismatch=+5°(minor) | bay✓ | swale(edge) | lat≈0
az145_lat+0,145.0,0.0,19533103.878821816,750745.2523977855,128.96562723682692,16.03437276317308,-13.957469201371278,36.23754436764201,50.531363349540534,121.4,18,True,325,-5.0,False,swale(advisory),10.7,C✓ min=121mm | MISMATCH=+16° | bay✓ | swale(edge)
az145_lat+10,145.0,10.0,19533095.687301375,750739.516633422,118.74277370141672,26.257226298583277,-23.957469200109568,42.38011655439892,54.15319072630921,135.5,18,True,325,-5.0,False,swale(advisory),18.1,C✓ min=136mm | MISMATCH=+26° | bay✓ | swale(edge)
az150_lat-30,150.0,-30.0,19533126.180762112,750757.9087298107,159.07750489363553,-9.077504893635535,7.50509387005023,29.052184846431217,47.56972589785509,99.9,18,True,330,0.0,False,swale(advisory),56.7,C✓ min=100mm | MISMATCH=-9° | bay✓ | swale(edge) | lat+8ft(minor)
az150_lat-20,150.0,-20.0,19533117.520508073,750752.9087298107,146.95973215473595,3.0402678452640544,-2.4949061308382703,29.432514908479124,47.0401631018504,103.6,18,True,330,0.0,False,swale(advisory),37.8,C✓ min=104mm | mismatch=+3°(minor) | bay✓ | swale(edge) | lat≈0
az150_lat-10,150.0,-10.0,19533108.860254038,750747.9087298107,135.10443880008125,14.895561199918745,-12.49490612850057,32.9926722644409,48.60735610049405,113.3,18,True,330,0.0,False,swale(advisory),18.9,C✓ min=113mm | MISMATCH=+15° | bay✓ | swale(edge)
az150_lat+0,150.0,0.0,19533100.2,750742.9087298107,124.41115304555275,25.588846954447263,-22.494906129389065,38.86849511676522,52.082369279233205,127.6,18,True,330,0.0,False,swale(advisory),0.0,C✓ min=128mm | MISMATCH=+26° | bay✓ | swale(edge)
az150_lat+10,150.0,10.0,19533091.53974596,750737.9087298107,115.32589724617205,34.67410275382795,-32.49490613027757,46.184449787463485,57.11804716928033,144.9,18,True,330,0.0,False,swale(advisory),18.9,C✓ min=145mm | MISMATCH=+35° | bay✓ | swale(edge)
