floor,eye_elev_navd88,n_positions,clear_S0_median,clear_S0_p25,clear_S0_p75,clear_S1_median,clear_S1_p25,clear_S1_p75,clear_S2_leafoff_median,clear_S2_leafoff_p25,clear_S2_leafoff_p75,clear_S2_leafon_median,clear_S2_leafon_p25,clear_S2_leafon_p75,canopy_gain_leafoff_median,canopy_gain_leafon_median,canopy_gain_leafoff_p75,canopy_gain_leafon_p75
2,635.0,138,100.0,100.0,100.0,100.0,53.8,100.0,15.4,0.0,51.9,7.7,0.0,46.2,46.2,53.8,61.5,69.2
3,647.0,138,100.0,100.0,100.0,100.0,84.6,100.0,61.5,46.2,76.9,53.8,30.8,76.9,19.2,23.1,38.5,53.8
4,659.0,138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
5,671.0,138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
6,683.0,138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
7,695.0,138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
8,707.0,138,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
