scenario,row,zone,sections,clipped,arc_ft,theoretical_arc_ft,arc_pct_of_full,total_seats,C_mm_axis,cut_cy,fill_cy,net_cy,gross_cy,max_cut_ft,max_fill_ft,lod_sqft,topsoil_cy,usable_fill_cy,cells_over_05_cut,cells_over_05_fill,cells_over_10_cut,cells_over_10_fill
A_terrain,19,civic,3,no,258.9,338.2,77,114,86,7.8,10.8,3.1,18.6,1.18,1.28,1167,21.6,7.4,175,275,6,21
B_terrain_clip,19,civic,3,no,258.9,338.2,77,114,86,7.8,8.5,0.8,16.3,1.18,0.5,1167,21.6,7.4,175,0,6,0
C_sightline,19,civic,3,no,258.9,338.2,77,114,86,7.8,10.9,3.1,18.6,1.17,1.28,1174,21.7,7.4,169,274,6,21
A_terrain,20,civic,3,no,269.5,348.9,77,119,55,8.2,10.8,2.5,19.0,1.22,1.38,1216,22.5,7.8,165,267,6,9
B_terrain_clip,20,civic,3,no,269.5,348.9,77,119,55,8.2,9.0,0.7,17.2,1.22,0.5,1216,22.5,7.8,165,0,6,0
C_sightline,20,civic,3,no,269.5,348.9,77,119,55,8.3,10.7,2.3,19.0,1.22,1.38,1217,22.5,7.9,167,262,6,9
A_terrain,21,civic,1,yes,90.3,359.2,25,40,31,2.6,3.5,0.8,6.1,1.06,1.05,416,7.7,2.5,44,80,1,2
B_terrain_clip,21,civic,1,yes,90.3,359.2,25,40,31,2.6,2.9,0.3,5.6,1.06,0.5,416,7.7,2.5,44,0,1,0
C_sightline,21,civic,1,yes,90.3,359.2,25,40,31,3.0,3.1,0.2,6.1,1.1,1.01,420,7.8,2.8,56,68,3,1
A_terrain,22,civic,1,yes,92.5,368.0,25,41,44,2.6,3.6,1.0,6.2,0.95,1.0,423,7.8,2.5,51,82,0,0
B_terrain_clip,22,civic,1,yes,92.5,368.0,25,41,44,2.6,3.1,0.5,5.7,0.95,0.5,423,7.8,2.5,51,0,0,0
C_sightline,22,civic,1,yes,92.5,368.0,25,41,44,2.8,3.4,0.6,6.2,0.98,0.97,425,7.9,2.7,54,75,0,0
A_terrain,23,civic,1,yes,94.7,377.8,25,42,7,2.7,3.4,0.7,6.2,0.93,1.0,423,7.8,2.6,55,82,0,1
B_terrain_clip,23,civic,1,yes,94.7,377.8,25,42,7,2.7,2.9,0.2,5.6,0.93,0.5,423,7.8,2.6,55,0,0,0
C_sightline,23,civic,1,yes,94.7,377.8,25,42,7,2.8,3.4,0.6,6.2,0.93,1.0,424,7.9,2.7,56,80,0,0
A_terrain,24,civic,1,yes,97.8,387.7,25,43,42,2.5,3.7,1.2,6.2,0.95,1.19,433,8.0,2.4,51,85,0,2
B_terrain_clip,24,civic,1,yes,97.8,387.7,25,43,42,2.5,3.1,0.6,5.6,0.95,0.5,433,8.0,2.4,51,0,0,0
C_sightline,24,civic,1,yes,97.8,387.7,25,43,42,2.5,3.7,1.1,6.2,0.95,1.19,432,8.0,2.4,52,84,0,2
A_terrain,25,civic,1,yes,99.2,395.8,25,44,28,2.4,3.1,0.7,5.5,0.69,1.03,440,8.1,2.3,33,65,0,1
B_terrain_clip,25,civic,1,yes,99.2,395.8,25,44,28,2.4,2.6,0.3,5.0,0.69,0.5,440,8.1,2.3,33,0,0,0
C_sightline,25,civic,1,yes,99.2,395.8,25,44,28,2.4,3.1,0.7,5.5,0.69,1.02,440,8.1,2.3,33,65,0,1
