threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,1ft_raw,1234,7.0,2.5,98.9,90.8,5,2
25,1ft_raw,1244,7.0,2.5,111.2,91.2,5,2
25,1ft_raw,1281,7.0,3.0,116.1,93.9,6,2
25,1ft_raw,1287,7.0,1.33,127.7,93.5,4,3
25,1ft_raw,1439,7.0,2.0,89.4,110.2,4,2
25,1ft_raw,1455,7.0,3.0,137.9,104.2,6,2
25,1ft_raw,1481,7.0,2.0,121.6,107.6,4,2
25,1ft_raw,1507,7.0,1.33,105.7,112.7,4,3
25,1ft_raw,1554,7.0,1.33,113.1,115.2,4,3
25,1ft_raw,1571,7.0,1.67,146.3,110.3,5,3
25,1ft_raw,1701,7.0,2.5,144.7,118.7,5,2
25,1ft_raw,1754,7.0,1.67,116.8,129.1,5,3
25,1ft_raw,1764,7.0,1.0,137.0,122.8,4,4
25,1ft_raw,1783,7.0,1.33,146.6,120.9,4,3
25,1ft_raw,1810,7.0,1.33,152.8,120.4,4,3
25,1ft_raw,1879,7.0,1.0,138.5,125.9,4,4
25,1ft_raw,1916,7.0,1.33,98.7,212.3,3,4
25,1ft_raw,1926,7.0,1.33,94.4,152.6,4,3
25,1ft_raw,1927,7.0,1.0,96.0,150.8,4,4
25,1ft_raw,1929,7.0,1.33,100.1,146.5,3,4
25,1ft_raw,1945,7.0,1.0,105.0,143.9,4,4
25,1ft_raw,1979,7.0,1.0,114.6,139.6,4,4
25,1ft_raw,2086,7.0,1.0,93.4,177.4,4,4
25,1ft_raw,2126,7.0,2.5,126.9,137.1,2,5
25,1ft_raw,2167,7.0,1.33,113.5,147.4,3,4
25,1ft_raw,2233,7.0,2.0,101.4,165.2,2,4
25,1ft_raw,2326,7.0,1.33,179.0,125.1,4,3
25,1ft_raw,2349,7.0,1.33,131.0,217.0,3,4
25,1ft_raw,2391,7.0,1.0,135.0,141.9,4,4
25,1ft_raw,2408,7.0,1.33,117.3,155.4,3,4
25,1ft_raw,2456,7.0,2.5,110.8,169.3,2,5
25,1ft_raw,2500,7.0,1.0,113.0,172.8,4,4
25,1ft_raw,2548,7.0,1.67,130.0,150.8,3,5
25,1ft_raw,2588,7.0,1.33,117.6,171.4,4,3
25,1ft_raw,2646,7.0,1.33,130.8,154.7,3,4
25,1ft_raw,2648,7.0,1.0,144.1,145.8,4,4
25,1ft_raw,2653,7.0,1.33,147.5,215.8,3,4
25,1ft_raw,2778,7.0,1.33,128.7,192.9,3,4
25,1ft_raw,2787,7.0,1.67,141.9,152.1,3,5
25,1ft_raw,2870,7.0,1.33,130.5,177.8,3,4
25,3ft_smooth,4,7.0,1.33,387.0,354.7,3,4
30,1ft_raw,15,7.0,1.0,439.3,24.8,4,4
30,1ft_raw,28,7.0,1.0,431.6,24.0,4,4
30,1ft_raw,33,7.0,1.33,392.2,357.1,3,4
30,1ft_raw,158,7.0,1.0,357.4,352.1,4,4
30,1ft_raw,182,7.0,1.33,346.3,352.7,3,4
30,1ft_raw,186,7.0,1.33,343.6,355.3,3,4
30,1ft_raw,207,7.0,1.0,332.4,344.1,4,4
30,1ft_raw,276,7.0,1.33,317.7,336.6,3,4
30,1ft_raw,336,7.0,1.0,298.8,327.6,4,4
30,1ft_raw,379,7.0,1.0,288.0,324.6,4,4
30,1ft_raw,585,7.0,1.33,423.7,281.3,4,3
30,1ft_raw,656,7.0,1.0,362.3,277.6,4,4
30,1ft_raw,685,7.0,1.0,375.7,276.6,4,4
30,1ft_raw,709,7.0,1.67,143.3,74.9,5,3
30,1ft_raw,866,7.0,2.5,109.3,95.0,5,2
30,1ft_raw,893,7.0,1.0,400.6,267.4,4,4
30,1ft_raw,941,7.0,1.67,125.7,102.7,5,3
30,1ft_raw,989,7.0,2.0,132.1,107.6,4,2
30,1ft_raw,1118,7.0,1.33,141.3,119.2,4,3
30,1ft_raw,1169,7.0,1.33,163.0,118.5,4,3
30,1ft_raw,1555,7.0,2.0,121.4,162.8,2,4
30,1ft_raw,1758,7.0,1.67,252.7,196.2,5,3
30,1ft_raw,1759,7.0,1.0,381.7,129.5,4,4
30,1ft_raw,1777,7.0,1.33,273.5,194.5,4,3
30,1ft_raw,1792,7.0,2.5,379.1,193.2,2,5
25,1ft_raw,1,6.0,1.0,400.5,356.7,3,3
25,1ft_raw,9,6.0,1.33,419.3,17.8,4,3
25,1ft_raw,76,6.0,1.0,397.8,21.3,3,3
25,1ft_raw,216,6.0,2.0,486.4,310.5,2,4
25,1ft_raw,228,6.0,1.33,390.2,36.3,3,4
25,1ft_raw,251,6.0,1.33,330.2,340.1,4,3
25,1ft_raw,310,6.0,1.33,307.8,326.6,4,3
25,1ft_raw,318,6.0,1.33,299.9,326.6,3,4
25,1ft_raw,326,6.0,1.33,299.7,325.7,3,4
25,1ft_raw,333,6.0,1.33,302.5,323.1,4,3
25,1ft_raw,849,6.0,2.0,352.1,281.3,2,4
25,1ft_raw,864,6.0,1.33,161.4,65.9,4,3
25,1ft_raw,979,6.0,2.0,132.8,70.1,4,2
25,1ft_raw,996,6.0,1.0,152.4,73.8,3,3
25,1ft_raw,1012,6.0,2.0,453.8,274.9,4,2
25,1ft_raw,1017,6.0,2.5,149.8,75.2,5,2
25,1ft_raw,1083,6.0,2.0,142.2,79.5,4,2
25,1ft_raw,1146,6.0,2.5,130.0,84.0,5,2
25,1ft_raw,1156,6.0,1.0,104.5,82.6,3,3
25,1ft_raw,1166,6.0,2.0,114.6,83.9,4,2
25,1ft_raw,1176,6.0,1.33,143.2,86.1,4,3
25,1ft_raw,1199,6.0,2.0,98.3,86.6,4,2
25,1ft_raw,1211,6.0,1.0,141.7,88.2,3,3
25,1ft_raw,1215,6.0,2.0,109.0,88.4,4,2
25,1ft_raw,1232,6.0,2.0,137.2,89.9,4,2
25,1ft_raw,1310,6.0,1.33,108.3,97.5,4,3
25,1ft_raw,1315,6.0,1.33,131.3,96.2,4,3
25,1ft_raw,1336,6.0,2.5,92.9,101.0,5,2
25,1ft_raw,1337,6.0,2.0,96.5,100.2,4,2
25,1ft_raw,1373,6.0,1.33,145.8,98.2,4,3
25,1ft_raw,1410,6.0,2.5,133.0,101.5,5,2
25,1ft_raw,1432,6.0,1.33,99.2,107.6,4,3
25,1ft_raw,1454,6.0,2.0,123.7,105.5,4,2
25,1ft_raw,1472,6.0,2.0,107.1,109.7,4,2
25,1ft_raw,1500,6.0,1.33,135.5,107.1,4,3
25,1ft_raw,1532,6.0,1.33,134.5,109.6,4,3
25,1ft_raw,1589,6.0,1.33,119.4,116.9,4,3
25,1ft_raw,1602,6.0,1.5,116.1,118.6,3,2
25,1ft_raw,1604,6.0,1.33,126.1,116.2,4,3
25,1ft_raw,1631,6.0,1.33,115.4,121.4,4,3
25,1ft_raw,1672,6.0,2.5,127.5,121.4,5,2
25,1ft_raw,1684,6.0,2.0,118.9,124.3,4,2
25,1ft_raw,1685,6.0,1.33,121.9,123.5,4,3
25,1ft_raw,1686,6.0,2.5,124.9,122.8,5,2
25,1ft_raw,1697,6.0,1.33,157.2,115.7,4,3
25,1ft_raw,1703,6.0,2.0,154.3,116.6,4,2
25,1ft_raw,1742,6.0,1.33,121.6,126.2,4,3
25,1ft_raw,1784,6.0,1.33,149.4,120.1,4,3
25,1ft_raw,1930,6.0,1.33,102.3,144.8,3,4
25,1ft_raw,2004,6.0,1.0,145.9,126.9,3,3
25,1ft_raw,2017,6.0,2.5,149.5,126.7,5,2
25,1ft_raw,2033,6.0,1.0,107.4,146.3,3,3
25,1ft_raw,2050,6.0,1.33,99.9,155.0,3,4
25,1ft_raw,2098,6.0,1.33,117.3,142.1,3,4
25,1ft_raw,2114,6.0,1.0,95.0,189.9,3,3
25,1ft_raw,2139,6.0,1.33,94.8,183.0,3,4
25,1ft_raw,2220,6.0,1.33,135.7,136.4,4,3
25,1ft_raw,2237,6.0,1.0,121.3,144.5,3,3
25,1ft_raw,2241,6.0,1.33,141.8,134.3,4,3
25,1ft_raw,2294,6.0,1.0,102.2,173.6,3,3
25,1ft_raw,2309,6.0,1.33,110.2,201.3,3,4
25,1ft_raw,2332,6.0,1.33,105.5,189.5,4,3
25,1ft_raw,2406,6.0,1.33,106.5,176.9,3,4
25,1ft_raw,2469,6.0,1.33,136.0,215.6,3,4
25,1ft_raw,2471,6.0,2.0,131.4,213.2,2,4
25,1ft_raw,2497,6.0,1.33,112.3,186.6,3,4
25,1ft_raw,2499,6.0,1.33,112.1,174.4,3,4
25,1ft_raw,2504,6.0,1.33,136.7,144.7,3,4
25,1ft_raw,2515,6.0,1.33,133.2,212.2,3,4
25,1ft_raw,2532,6.0,1.33,134.7,146.7,3,4
25,1ft_raw,2547,6.0,1.33,128.0,152.5,3,4
25,1ft_raw,2559,6.0,1.0,118.2,194.0,3,3
25,1ft_raw,2582,6.0,1.5,122.6,200.3,2,3
25,1ft_raw,2606,6.0,1.0,124.7,159.4,3,3
25,1ft_raw,2639,6.0,1.33,119.0,184.3,4,3
25,1ft_raw,2667,6.0,1.33,141.6,147.6,3,4
25,1ft_raw,2717,6.0,1.0,127.7,163.4,3,3
25,1ft_raw,2784,6.0,1.33,138.0,155.6,3,4
25,1ft_raw,2802,6.0,1.33,130.0,167.5,4,3
25,1ft_raw,2817,6.0,2.0,129.0,189.7,2,4
25,1ft_raw,2893,6.0,1.0,150.5,150.8,3,3
25,1ft_raw,3001,6.0,2.0,147.1,161.9,2,4
25,1ft_raw,3080,6.0,2.0,505.0,242.3,2,4
25,1ft_raw,3126,6.0,1.0,457.3,137.4,3,3
25,1ft_raw,3140,6.0,1.0,378.9,192.0,3,3
25,3ft_smooth,11,6.0,2.0,305.0,327.9,4,2
30,1ft_raw,25,6.0,1.33,431.0,23.6,4,3
30,1ft_raw,36,6.0,2.0,391.2,357.8,2,4
30,1ft_raw,41,6.0,1.33,390.1,355.5,4,3
30,1ft_raw,72,6.0,1.33,381.0,357.3,3,4
30,1ft_raw,90,6.0,1.33,412.1,23.3,3,4
30,1ft_raw,107,6.0,1.33,373.4,355.9,3,4
30,1ft_raw,120,6.0,1.33,370.3,354.0,3,4
30,1ft_raw,125,6.0,1.33,368.5,355.4,4,3
30,1ft_raw,150,6.0,1.33,361.5,353.0,4,3
30,1ft_raw,213,6.0,1.33,393.3,35.8,4,3
30,1ft_raw,216,6.0,1.33,497.6,309.7,3,4
30,1ft_raw,282,6.0,1.0,317.0,333.9,3,3
30,1ft_raw,320,6.0,1.33,306.1,327.2,4,3
30,1ft_raw,338,6.0,1.33,296.3,327.9,4,3
30,1ft_raw,367,6.0,1.33,289.5,325.6,4,3
30,1ft_raw,372,6.0,1.33,290.3,324.6,4,3
30,1ft_raw,448,6.0,2.0,420.9,300.4,2,4
30,1ft_raw,468,6.0,1.33,439.2,298.2,3,4
30,1ft_raw,495,6.0,2.0,313.5,309.2,2,4
30,1ft_raw,529,6.0,2.0,280.4,293.6,2,4
30,1ft_raw,612,6.0,1.33,405.6,278.3,4,3
30,1ft_raw,625,6.0,1.0,420.9,277.3,3,3
30,1ft_raw,958,6.0,1.33,128.6,104.4,4,3
30,1ft_raw,964,6.0,2.5,141.7,104.2,5,2
30,1ft_raw,977,6.0,2.0,121.8,107.7,4,2
30,1ft_raw,1009,6.0,2.0,124.1,110.8,4,2
30,1ft_raw,1199,6.0,1.33,145.0,124.5,4,3
30,1ft_raw,1427,6.0,1.33,135.0,141.8,4,3
30,1ft_raw,1486,6.0,1.33,112.3,186.6,3,4
30,1ft_raw,1492,6.0,1.33,136.7,144.7,3,4
30,3ft_smooth,11,6.0,2.0,235.0,0.5,4,2
25,1ft_raw,8,5.0,1.0,418.3,17.3,3,3
25,1ft_raw,30,5.0,1.0,393.3,4.2,3,3
25,1ft_raw,70,5.0,1.5,404.1,22.7,2,3
25,1ft_raw,109,5.0,2.0,370.1,18.9,4,2
25,1ft_raw,127,5.0,1.5,367.4,337.4,3,2
25,1ft_raw,140,5.0,2.0,341.3,345.2,4,2
25,1ft_raw,160,5.0,1.0,322.6,4.5,3,3
25,1ft_raw,173,5.0,1.0,452.2,314.9,3,3
25,1ft_raw,176,5.0,2.0,444.5,316.1,2,4
25,1ft_raw,215,5.0,1.0,489.7,310.1,3,3
25,1ft_raw,267,5.0,1.0,302.4,1.8,3,3
25,1ft_raw,290,5.0,1.0,286.3,359.1,3,3
25,1ft_raw,340,5.0,1.0,239.7,350.3,3,3
25,1ft_raw,351,5.0,2.0,292.8,321.8,4,2
25,1ft_raw,368,5.0,1.0,225.3,355.5,3,3
25,1ft_raw,375,5.0,1.0,227.6,346.9,3,3
25,1ft_raw,397,5.0,1.0,415.0,301.1,3,3
25,1ft_raw,410,5.0,2.0,260.4,324.5,4,2
25,1ft_raw,490,5.0,1.5,433.6,287.8,3,2
25,1ft_raw,501,5.0,1.5,292.2,294.4,3,2
25,1ft_raw,538,5.0,1.5,119.4,339.6,2,3
25,1ft_raw,774,5.0,1.0,170.4,60.0,3,3
25,1ft_raw,863,5.0,1.5,158.7,65.2,3,2
25,1ft_raw,867,5.0,1.0,164.9,66.5,3,3
25,1ft_raw,882,5.0,1.5,147.0,64.9,3,2
25,1ft_raw,905,5.0,2.0,154.6,67.5,4,2
25,1ft_raw,934,5.0,2.0,129.1,66.4,4,2
25,1ft_raw,967,5.0,1.5,120.5,67.2,3,2
25,1ft_raw,1006,5.0,1.0,368.7,276.3,3,3
25,1ft_raw,1040,5.0,1.0,116.2,73.7,3,3
25,1ft_raw,1071,5.0,2.0,112.9,76.3,4,2
25,1ft_raw,1075,5.0,2.0,145.8,79.4,4,2
25,1ft_raw,1076,5.0,1.5,149.5,79.3,3,2
25,1ft_raw,1088,5.0,1.5,149.1,80.6,3,2
25,1ft_raw,1099,5.0,1.0,119.4,79.7,3,3
25,1ft_raw,1112,5.0,1.5,127.4,81.2,3,2
25,1ft_raw,1124,5.0,1.5,150.2,83.0,3,2
25,1ft_raw,1128,5.0,1.5,121.2,81.6,3,2
25,1ft_raw,1129,5.0,1.0,136.8,82.8,3,3
25,1ft_raw,1165,5.0,1.5,111.8,83.7,3,2
25,1ft_raw,1193,5.0,2.0,124.3,86.8,4,2
25,1ft_raw,1216,5.0,2.0,112.7,88.3,4,2
25,1ft_raw,1235,5.0,1.0,102.5,90.4,3,3
25,1ft_raw,1237,5.0,2.0,133.3,90.6,4,2
25,1ft_raw,1238,5.0,2.0,140.7,90.3,4,2
25,1ft_raw,1253,5.0,1.5,107.9,91.5,3,2
25,1ft_raw,1339,5.0,1.5,124.2,97.7,3,2
25,1ft_raw,1398,5.0,1.5,90.5,105.7,3,2
25,1ft_raw,1415,5.0,2.0,114.4,103.7,4,2
25,1ft_raw,1445,5.0,1.5,132.7,103.3,3,2
25,1ft_raw,1461,5.0,2.0,131.4,105.0,4,2
25,1ft_raw,1474,5.0,2.0,114.2,108.6,4,2
25,1ft_raw,1694,5.0,1.0,258.3,254.8,3,3
25,1ft_raw,1731,5.0,1.5,131.7,122.5,3,2
25,1ft_raw,1739,5.0,2.0,84.9,147.1,2,4
25,1ft_raw,1818,5.0,1.0,83.3,158.5,3,3
25,1ft_raw,1829,5.0,1.0,156.1,119.8,3,3
25,1ft_raw,1831,5.0,2.0,166.3,118.0,4,2
25,1ft_raw,1832,5.0,1.0,364.2,257.6,3,3
25,1ft_raw,1868,5.0,1.0,135.6,126.0,3,3
25,1ft_raw,1887,5.0,1.0,109.5,138.0,3,3
25,1ft_raw,1911,5.0,2.0,155.2,122.4,4,2
25,1ft_raw,1928,5.0,1.0,98.0,148.4,3,3
25,1ft_raw,1943,5.0,1.0,85.4,172.1,3,3
25,1ft_raw,2031,5.0,1.0,103.7,149.7,3,3
25,1ft_raw,2054,5.0,1.0,127.7,135.0,3,3
25,1ft_raw,2065,5.0,1.5,98.9,202.8,2,3
25,1ft_raw,2109,5.0,1.0,119.9,218.9,3,3
25,1ft_raw,2124,5.0,1.0,122.4,140.0,3,3
25,1ft_raw,2127,5.0,2.0,130.0,135.6,2,4
25,1ft_raw,2169,5.0,1.0,143.5,131.6,3,3
25,1ft_raw,2173,5.0,2.0,159.6,126.9,4,2
25,1ft_raw,2199,5.0,2.0,169.6,124.9,4,2
25,1ft_raw,2208,5.0,1.5,104.6,202.1,2,3
25,1ft_raw,2210,5.0,1.0,101.1,195.2,3,3
25,1ft_raw,2239,5.0,1.5,127.5,140.6,3,2
25,1ft_raw,2266,5.0,1.0,123.5,143.6,3,3
25,1ft_raw,2293,5.0,1.0,115.9,208.6,3,3
25,1ft_raw,2308,5.0,1.0,111.3,203.1,3,3
25,1ft_raw,2320,5.0,1.5,123.7,145.7,2,3
25,1ft_raw,2323,5.0,1.0,151.8,132.6,3,3
25,1ft_raw,2386,5.0,2.0,111.2,160.6,2,4
25,1ft_raw,2409,5.0,1.0,119.0,153.5,3,3
25,1ft_raw,2426,5.0,1.5,107.4,175.0,2,3
25,1ft_raw,2435,5.0,1.5,136.1,217.4,2,3
25,1ft_raw,2505,5.0,1.0,139.0,143.5,3,3
25,1ft_raw,2523,5.0,1.5,113.5,188.8,2,3
25,1ft_raw,2524,5.0,1.0,112.8,181.7,3,3
25,1ft_raw,2584,5.0,1.5,116.8,189.7,2,3
25,1ft_raw,2609,5.0,1.0,141.4,145.7,3,3
25,1ft_raw,2625,5.0,2.0,146.2,143.9,4,2
25,1ft_raw,2632,5.0,1.0,152.1,218.8,3,3
25,1ft_raw,2640,5.0,1.0,118.4,178.9,3,3
25,1ft_raw,2650,5.0,2.0,189.8,128.8,4,2
25,1ft_raw,2662,5.0,1.5,130.2,156.4,3,2
25,1ft_raw,2700,5.0,1.0,146.6,145.9,3,3
25,1ft_raw,2701,5.0,1.0,154.2,142.1,3,3
25,1ft_raw,2738,5.0,1.0,125.1,171.0,3,3
25,1ft_raw,2742,5.0,1.5,137.7,153.4,2,3
25,1ft_raw,2752,5.0,1.0,155.0,216.5,3,3
25,1ft_raw,2760,5.0,2.0,124.7,175.9,2,4
25,1ft_raw,2788,5.0,1.0,143.7,150.7,3,3
25,1ft_raw,2812,5.0,1.0,140.8,205.1,3,3
25,1ft_raw,2818,5.0,2.0,128.1,187.7,2,4
25,1ft_raw,2855,5.0,1.0,157.8,145.1,3,3
25,1ft_raw,2892,5.0,1.5,148.3,152.0,2,3
25,1ft_raw,2904,5.0,1.5,135.0,192.3,2,3
25,1ft_raw,2907,5.0,2.0,147.5,153.5,2,4
25,1ft_raw,2951,5.0,1.0,163.8,145.7,3,3
25,1ft_raw,3026,5.0,1.0,155.4,156.4,3,3
25,1ft_raw,3038,5.0,2.0,164.2,150.8,2,4
25,1ft_raw,3087,5.0,1.5,240.7,188.7,2,3
25,1ft_raw,3129,5.0,1.5,353.0,191.1,3,2
25,1ft_raw,3148,5.0,1.0,375.9,173.4,3,3
25,1ft_raw,3160,5.0,1.5,548.3,225.5,2,3
25,1ft_raw,3161,5.0,1.5,545.8,225.3,2,3
25,1ft_raw,3168,5.0,1.5,398.2,191.7,2,3
30,1ft_raw,16,5.0,1.0,440.3,25.2,3,3
30,1ft_raw,95,5.0,1.0,378.4,354.4,3,3
30,1ft_raw,105,5.0,1.0,374.7,354.1,3,3
30,1ft_raw,119,5.0,1.0,370.8,353.3,3,3
30,1ft_raw,144,5.0,1.0,364.1,352.9,3,3
30,1ft_raw,172,5.0,2.0,370.1,18.9,4,2
30,1ft_raw,174,5.0,2.0,354.2,350.2,4,2
30,1ft_raw,188,5.0,2.0,347.2,349.1,2,4
30,1ft_raw,238,5.0,1.5,494.8,309.7,2,3
30,1ft_raw,260,5.0,1.0,327.3,340.9,3,3
30,1ft_raw,265,5.0,2.0,323.9,338.3,4,2
30,1ft_raw,277,5.0,1.0,302.2,344.1,3,3
30,1ft_raw,305,5.0,1.5,308.6,331.1,3,2
30,1ft_raw,345,5.0,1.0,299.7,325.7,3,3
30,1ft_raw,391,5.0,1.0,294.9,321.3,3,3
30,1ft_raw,442,5.0,1.0,402.6,302.0,3,3
30,1ft_raw,475,5.0,1.0,425.7,299.0,3,3
30,1ft_raw,500,5.0,1.5,311.1,51.5,2,3
30,1ft_raw,602,5.0,1.5,260.8,284.1,3,2
30,1ft_raw,643,5.0,1.5,148.8,70.1,3,2
30,1ft_raw,707,5.0,1.5,130.1,72.3,3,2
30,1ft_raw,711,5.0,1.5,124.8,72.6,3,2
30,1ft_raw,735,5.0,2.0,128.3,77.6,4,2
30,1ft_raw,814,5.0,2.0,106.3,86.3,4,2
30,1ft_raw,840,5.0,1.5,99.1,90.4,3,2
30,1ft_raw,845,5.0,1.5,111.1,91.2,3,2
30,1ft_raw,924,5.0,1.5,115.3,101.7,3,2
30,1ft_raw,949,5.0,1.5,89.3,110.0,3,2
30,1ft_raw,1029,5.0,1.0,129.8,111.9,3,3
30,1ft_raw,1030,5.0,2.0,133.2,111.6,4,2
30,1ft_raw,1092,5.0,1.0,102.5,127.5,3,3
30,1ft_raw,1407,5.0,2.0,105.2,187.2,2,4
30,1ft_raw,1411,5.0,2.0,107.8,164.3,2,4
30,1ft_raw,1453,5.0,1.0,114.4,198.7,3,3
30,1ft_raw,1479,5.0,1.5,115.0,163.0,2,3
30,1ft_raw,1543,5.0,1.0,119.0,166.5,3,3
30,1ft_raw,1752,5.0,2.0,244.1,194.1,2,4
30,1ft_raw,1753,5.0,1.5,241.1,190.3,2,3
30,1ft_raw,1813,5.0,1.5,548.3,225.5,2,3
25,1ft_raw,6,4.0,1.5,401.6,5.2,2,3
25,1ft_raw,7,4.0,1.5,402.2,5.7,2,3
25,1ft_raw,19,4.0,1.5,397.4,356.1,3,2
25,1ft_raw,24,4.0,1.5,396.2,356.5,3,2
25,1ft_raw,53,4.0,1.5,390.4,12.3,3,2
25,1ft_raw,67,4.0,1.5,376.6,352.3,3,2
25,1ft_raw,82,4.0,1.5,369.3,2.6,2,3
25,1ft_raw,97,4.0,1.5,385.1,20.0,2,3
25,1ft_raw,118,4.0,1.5,350.2,7.8,2,3
25,1ft_raw,129,4.0,1.5,343.7,348.4,2,3
25,1ft_raw,188,4.0,1.0,434.5,317.2,2,2
25,1ft_raw,195,4.0,1.5,492.1,310.2,3,2
25,1ft_raw,212,4.0,1.5,332.8,342.0,3,2
25,1ft_raw,305,4.0,1.5,270.5,356.5,2,3
25,1ft_raw,353,4.0,1.5,290.0,322.2,3,2
25,1ft_raw,361,4.0,1.5,226.5,1.0,3,2
25,1ft_raw,367,4.0,1.5,265.1,327.9,3,2
25,1ft_raw,406,4.0,1.5,214.9,353.4,3,2
25,1ft_raw,411,4.0,1.5,213.4,356.4,2,3
25,1ft_raw,413,4.0,1.5,432.0,299.4,2,3
25,1ft_raw,422,4.0,1.5,263.6,322.6,3,2
25,1ft_raw,436,4.0,1.5,262.4,321.9,3,2
25,1ft_raw,517,4.0,1.5,115.3,353.0,3,2
25,1ft_raw,582,4.0,1.5,108.8,353.9,2,3
25,1ft_raw,594,4.0,1.5,106.7,3.8,3,2
25,1ft_raw,601,4.0,1.5,111.7,341.5,2,3
25,1ft_raw,617,4.0,1.5,107.5,12.6,2,3
25,1ft_raw,699,4.0,1.5,240.5,293.5,2,3
25,1ft_raw,700,4.0,1.5,96.2,355.5,2,3
25,1ft_raw,736,4.0,1.5,128.3,44.2,2,3
25,1ft_raw,795,4.0,1.5,153.1,57.4,3,2
25,1ft_raw,810,4.0,1.0,164.2,61.3,2,2
25,1ft_raw,868,4.0,1.5,168.3,67.1,3,2
25,1ft_raw,880,4.0,1.0,140.8,63.5,2,2
25,1ft_raw,898,4.0,1.5,162.7,68.2,3,2
25,1ft_raw,899,4.0,1.5,309.4,281.2,2,3
25,1ft_raw,904,4.0,1.5,143.9,65.6,3,2
25,1ft_raw,935,4.0,1.5,132.7,66.6,3,2
25,1ft_raw,968,4.0,1.5,123.8,68.0,3,2
25,1ft_raw,975,4.0,1.5,439.4,275.9,3,2
25,1ft_raw,976,4.0,1.0,429.5,276.1,2,2
25,1ft_raw,986,4.0,1.5,143.4,71.8,3,2
25,1ft_raw,1031,4.0,1.5,160.2,76.8,3,2
25,1ft_raw,1038,4.0,1.5,155.6,77.6,3,2
25,1ft_raw,1044,4.0,1.0,158.5,78.0,2,2
25,1ft_raw,1046,4.0,1.5,309.2,275.9,2,3
25,1ft_raw,1055,4.0,1.5,112.2,74.3,3,2
25,1ft_raw,1063,4.0,1.5,138.4,77.7,3,2
25,1ft_raw,1073,4.0,1.5,131.9,78.0,3,2
25,1ft_raw,1074,4.0,1.5,135.5,78.4,3,2
25,1ft_raw,1077,4.0,1.5,152.7,79.7,3,2
25,1ft_raw,1113,4.0,1.5,134.4,81.7,3,2
25,1ft_raw,1114,4.0,1.0,143.4,82.0,2,2
25,1ft_raw,1130,4.0,1.0,141.1,82.7,2,2
25,1ft_raw,1145,4.0,1.5,126.1,83.4,3,2
25,1ft_raw,1194,4.0,1.5,128.7,86.5,2,3
25,1ft_raw,1204,4.0,1.5,152.1,87.6,3,2
25,1ft_raw,1220,4.0,1.5,121.8,88.7,3,2
25,1ft_raw,1265,4.0,1.5,135.1,91.9,3,2
25,1ft_raw,1285,4.0,1.5,94.1,94.6,3,2
25,1ft_raw,1293,4.0,1.5,119.6,94.1,3,2
25,1ft_raw,1318,4.0,1.0,147.6,95.1,2,2
25,1ft_raw,1332,4.0,1.5,139.1,96.5,3,2
25,1ft_raw,1338,4.0,1.5,120.9,97.9,3,2
25,1ft_raw,1342,4.0,1.5,150.9,96.3,3,2
25,1ft_raw,1369,4.0,1.5,121.0,99.8,3,2
25,1ft_raw,1370,4.0,1.0,130.5,98.8,2,2
25,1ft_raw,1378,4.0,1.5,108.2,101.5,3,2
25,1ft_raw,1397,4.0,1.5,305.0,265.4,3,2
25,1ft_raw,1404,4.0,1.0,94.4,105.4,2,2
25,1ft_raw,1413,4.0,1.5,108.3,104.2,3,2
25,1ft_raw,1414,4.0,1.5,111.2,103.8,3,2
25,1ft_raw,1424,4.0,1.5,148.6,100.7,3,2
25,1ft_raw,1441,4.0,1.5,105.7,106.7,3,2
25,1ft_raw,1464,4.0,1.5,152.7,102.7,3,2
25,1ft_raw,1471,4.0,1.5,100.5,110.7,3,2
25,1ft_raw,1477,4.0,1.5,145.1,104.1,3,2
25,1ft_raw,1478,4.0,1.5,453.7,265.4,3,2
25,1ft_raw,1488,4.0,1.5,118.0,108.7,3,2
25,1ft_raw,1491,4.0,1.5,152.9,104.2,3,2
25,1ft_raw,1508,4.0,1.5,108.1,112.0,3,2
25,1ft_raw,1524,4.0,1.5,401.4,263.8,3,2
25,1ft_raw,1545,4.0,1.5,106.7,115.9,3,2
25,1ft_raw,1553,4.0,1.5,109.8,115.7,3,2
25,1ft_raw,1568,4.0,1.5,119.7,114.4,3,2
25,1ft_raw,1569,4.0,1.5,123.1,113.6,3,2
25,1ft_raw,1577,4.0,1.5,100.3,120.9,3,2
25,1ft_raw,1583,4.0,1.5,116.9,116.9,3,2
25,1ft_raw,1601,4.0,1.5,113.0,119.6,3,2
25,1ft_raw,1603,4.0,4.0,123.0,117.1,4,1
25,1ft_raw,1625,4.0,1.5,156.1,112.0,3,2
25,1ft_raw,1633,4.0,1.5,121.2,119.3,3,2
25,1ft_raw,1636,4.0,1.5,136.4,116.1,2,3
25,1ft_raw,1641,4.0,1.5,144.1,115.3,3,2
25,1ft_raw,1646,4.0,1.5,125.0,120.0,3,2
25,1ft_raw,1647,4.0,1.5,138.0,117.0,3,2
25,1ft_raw,1674,4.0,1.5,135.0,119.1,3,2
25,1ft_raw,1688,4.0,1.5,138.1,118.8,3,2
25,1ft_raw,1695,4.0,1.5,96.9,134.0,3,2
25,1ft_raw,1704,4.0,1.5,160.4,115.3,3,2
25,1ft_raw,1732,4.0,1.5,134.9,121.5,3,2
