threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,1ft_raw,345,33.0,1.71,285.9,36.6,12,7
25,1ft_raw,2563,33.0,3.4,120.6,163.9,5,17
30,1ft_raw,405,33.0,1.33,286.0,321.3,9,12
30,3ft_smooth,33,32.0,1.17,378.0,177.6,7,6
30,3ft_smooth,34,32.0,5.0,379.5,187.1,3,15
25,1ft_raw,3134,31.0,1.3,378.2,192.6,10,13
25,1ft_raw,3152,31.0,3.67,377.0,182.7,3,11
30,1ft_raw,1806,31.0,3.67,377.0,182.7,3,11
25,1ft_raw,471,30.0,4.25,427.2,289.0,4,17
30,5ft_smooth,15,30.0,1.6,403.2,190.7,8,5
25,1ft_raw,4,29.0,1.0,397.6,0.3,7,7
25,1ft_raw,210,29.0,2.6,425.3,317.9,5,13
25,1ft_raw,52,28.0,1.56,413.1,23.4,9,14
25,1ft_raw,161,28.0,1.5,391.0,35.2,8,12
25,3ft_smooth,20,28.0,1.0,304.0,81.9,6,6
30,1ft_raw,1819,28.0,1.12,399.4,188.8,9,8
25,1ft_raw,311,27.0,1.3,303.7,326.2,13,10
25,1ft_raw,969,27.0,3.4,123.3,71.1,17,5
25,3ft_smooth,26,27.0,2.0,381.1,171.0,8,4
30,1ft_raw,4,27.0,1.0,397.6,0.2,7,7
25,1ft_raw,51,26.0,1.86,379.9,353.2,13,7
25,1ft_raw,2359,26.0,5.33,107.9,165.2,3,16
30,3ft_smooth,18,26.0,1.14,415.3,277.3,7,8
30,3ft_smooth,31,26.0,2.0,381.0,170.9,8,4
25,3ft_smooth,3,25.0,1.6,386.1,356.7,8,5
30,1ft_raw,187,25.0,1.29,343.0,352.3,7,9
30,1ft_raw,278,25.0,1.0,316.5,335.1,8,8
30,1ft_raw,384,25.0,1.57,286.1,36.7,11,7
30,1ft_raw,1768,25.0,2.33,388.4,229.2,6,14
25,1ft_raw,83,24.0,1.18,363.9,354.1,13,11
25,1ft_raw,178,24.0,1.43,504.3,308.9,7,10
25,1ft_raw,2012,24.0,4.67,88.7,184.3,3,14
25,5ft_smooth,3,24.0,3.67,344.4,293.5,3,11
25,1ft_raw,138,23.0,1.11,340.3,344.1,10,9
25,1ft_raw,3169,23.0,2.75,393.9,184.5,4,11
25,3ft_smooth,16,23.0,1.8,290.8,292.7,9,5
30,1ft_raw,113,23.0,1.1,367.2,358.0,10,11
30,1ft_raw,370,23.0,1.0,285.9,324.9,11,11
25,1ft_raw,308,22.0,1.67,305.2,327.9,10,6
25,1ft_raw,373,22.0,1.43,221.6,356.6,7,10
25,1ft_raw,1555,22.0,3.75,131.4,114.1,15,4
25,1ft_raw,2277,22.0,4.33,100.8,183.9,3,13
25,1ft_raw,2405,22.0,4.0,106.6,181.8,3,12
25,1ft_raw,3172,22.0,2.0,394.8,181.4,5,10
30,1ft_raw,47,22.0,1.0,386.2,356.8,7,7
30,1ft_raw,515,22.0,2.0,346.7,292.1,10,5
25,1ft_raw,402,21.0,1.5,438.0,299.0,6,9
25,1ft_raw,1379,21.0,2.4,125.7,102.0,12,5
25,1ft_raw,2677,21.0,4.0,122.9,190.4,3,12
25,1ft_raw,2872,21.0,3.67,131.3,173.7,3,11
30,1ft_raw,308,21.0,1.11,303.5,330.9,10,9
30,3ft_smooth,21,21.0,1.2,304.1,82.0,5,6
25,1ft_raw,162,20.0,2.2,499.4,309.7,5,11
25,1ft_raw,1152,20.0,1.8,235.3,87.1,9,5
25,1ft_raw,1343,20.0,1.29,398.8,267.3,7,9
