profile,station_ft,elev_ft,slope_deg
E++20ft offset,186.0,637.517,0.17
E++20ft offset,187.0,637.61,5.34
E++20ft offset,188.0,637.696,4.92
E++20ft offset,189.0,637.717,1.21
E++20ft offset,190.0,637.744,1.54
E++20ft offset,191.0,637.832,5.02
E++20ft offset,192.0,637.926,5.39
E++20ft offset,193.0,637.966,2.26
E++20ft offset,194.0,638.029,3.64
E++20ft offset,195.0,638.123,5.36
E++20ft offset,196.0,638.179,3.21
E++20ft offset,197.0,638.187,0.43
E++20ft offset,198.0,638.283,5.49
E++20ft offset,199.0,638.39,6.13
E++20ft offset,200.0,638.408,1.04
