set,n_cells,area_ac,min,p01,p05,p10,p50,p90,p95,p99,max,relief,mean,area_below_p10_ac
full_aoi,563922,12.9459,588.23,589.478,592.54,595.02,625.429,645.032,651.828,656.549,662.092,73.862,624.326,1.2945
masked_basin,507599,11.6529,594.96,596.44,605.579,610.006,626.828,645.85,652.41,656.77,662.092,67.132,627.898,1.1653
