band_key,az,blocked_pct
east r7,334.0,100.0
east r7,336.0,100.0
east r7,338.0,100.0
east r7,340.0,100.0
east r7,342.0,100.0
east r7,344.0,100.0
east r7,346.0,100.0
east r7,348.0,100.0
east r7,350.0,100.0
east r7,352.0,100.0
east r7,354.0,100.0
east r7,356.0,100.0
east r7,358.0,100.0
east r7,360.0,100.0
east r8,280.0,66.7
east r8,282.0,66.7
east r8,284.0,33.3
east r8,286.0,33.3
east r8,288.0,0.0
east r8,290.0,0.0
east r8,292.0,0.0
east r8,294.0,0.0
east r8,296.0,0.0
east r8,298.0,0.0
east r8,300.0,0.0
east r8,302.0,0.0
east r8,304.0,0.0
east r8,306.0,0.0
east r8,308.0,0.0
east r8,310.0,0.0
east r8,312.0,0.0
east r8,314.0,0.0
east r8,316.0,0.0
east r8,318.0,0.0
east r8,320.0,33.3
east r8,322.0,66.7
east r8,324.0,66.7
east r8,326.0,100.0
east r8,328.0,100.0
east r8,330.0,100.0
east r8,332.0,100.0
east r8,334.0,100.0
east r8,336.0,100.0
east r8,338.0,100.0
east r8,340.0,100.0
east r8,342.0,100.0
east r8,344.0,100.0
east r8,346.0,100.0
east r8,348.0,100.0
east r8,350.0,100.0
east r8,352.0,100.0
east r8,354.0,100.0
east r8,356.0,100.0
east r8,358.0,100.0
east r8,360.0,100.0
east r11,280.0,0.0
east r11,282.0,0.0
east r11,284.0,0.0
east r11,286.0,0.0
east r11,288.0,0.0
east r11,290.0,0.0
east r11,292.0,0.0
east r11,294.0,0.0
east r11,296.0,0.0
east r11,298.0,0.0
east r11,300.0,0.0
east r11,302.0,0.0
east r11,304.0,0.0
east r11,306.0,0.0
east r11,308.0,0.0
east r11,310.0,0.0
east r11,312.0,0.0
east r11,314.0,0.0
east r11,316.0,0.0
east r11,318.0,0.0
east r11,320.0,0.0
east r11,322.0,0.0
east r11,324.0,0.0
east r11,326.0,0.0
east r11,328.0,0.0
east r11,330.0,0.0
east r11,332.0,0.0
east r11,334.0,0.0
east r11,336.0,0.0
east r11,338.0,0.0
east r11,340.0,0.0
east r11,342.0,33.3
east r11,344.0,66.7
east r11,346.0,100.0
east r11,348.0,100.0
east r11,350.0,100.0
east r11,352.0,100.0
east r11,354.0,100.0
east r11,356.0,100.0
east r11,358.0,100.0
east r11,360.0,100.0
east r12,280.0,0.0
east r12,282.0,0.0
east r12,284.0,0.0
east r12,286.0,0.0
east r12,288.0,0.0
east r12,290.0,0.0
east r12,292.0,0.0
