band_key,az,blocked_terrain,blocked_terrain_stage,blocked_terrain_stage_city
east r16,322.0,0.0,0.0,0.0
east r16,324.0,0.0,0.0,0.0
east r16,326.0,0.0,0.0,0.0
east r16,328.0,0.0,0.0,33.3
east r16,330.0,0.0,0.0,33.3
east r16,332.0,0.0,0.0,66.7
east r16,334.0,0.0,0.0,100.0
east r16,336.0,0.0,0.0,100.0
east r16,338.0,0.0,0.0,100.0
east r16,340.0,0.0,0.0,100.0
east r16,342.0,0.0,0.0,100.0
east r17,318.0,0.0,0.0,0.0
east r17,320.0,0.0,0.0,0.0
east r17,322.0,0.0,0.0,0.0
east r17,324.0,0.0,0.0,0.0
east r17,326.0,0.0,0.0,0.0
east r17,328.0,0.0,0.0,33.3
east r17,330.0,0.0,0.0,66.7
east r17,332.0,0.0,0.0,100.0
east r17,334.0,0.0,0.0,100.0
east r17,336.0,0.0,0.0,100.0
east r17,338.0,0.0,0.0,100.0
east r17,340.0,0.0,0.0,100.0
east r17,342.0,0.0,0.0,100.0
east r18,318.0,0.0,0.0,0.0
east r18,320.0,0.0,0.0,0.0
east r18,322.0,0.0,0.0,0.0
east r18,324.0,0.0,0.0,0.0
east r18,326.0,0.0,0.0,0.0
east r18,328.0,0.0,0.0,33.3
east r18,330.0,0.0,0.0,66.7
east r18,332.0,0.0,0.0,100.0
east r18,334.0,0.0,0.0,100.0
east r18,336.0,0.0,0.0,100.0
east r18,338.0,0.0,0.0,100.0
east r18,340.0,0.0,0.0,100.0
east r18,342.0,0.0,0.0,100.0
bend r1,318.0,100.0,100.0,100.0
bend r1,320.0,100.0,100.0,100.0
bend r1,322.0,100.0,100.0,100.0
bend r1,324.0,100.0,100.0,100.0
bend r1,326.0,100.0,100.0,100.0
bend r1,328.0,100.0,100.0,100.0
bend r1,330.0,100.0,100.0,100.0
bend r1,332.0,100.0,100.0,100.0
bend r1,334.0,100.0,100.0,100.0
bend r1,336.0,100.0,100.0,100.0
bend r1,338.0,100.0,100.0,100.0
bend r1,340.0,100.0,100.0,100.0
bend r1,342.0,100.0,100.0,100.0
bend r2,318.0,100.0,100.0,100.0
bend r2,320.0,100.0,100.0,100.0
bend r2,322.0,100.0,100.0,100.0
bend r2,324.0,100.0,100.0,100.0
bend r2,326.0,100.0,100.0,100.0
bend r2,328.0,100.0,100.0,100.0
bend r2,330.0,100.0,100.0,100.0
bend r2,332.0,100.0,100.0,100.0
bend r2,334.0,100.0,100.0,100.0
bend r2,336.0,100.0,100.0,100.0
bend r2,338.0,100.0,100.0,100.0
bend r2,340.0,100.0,100.0,100.0
bend r2,342.0,100.0,100.0,100.0
bend r3,318.0,100.0,100.0,100.0
bend r3,320.0,100.0,100.0,100.0
bend r3,322.0,100.0,100.0,100.0
bend r3,324.0,100.0,100.0,100.0
bend r3,326.0,100.0,100.0,100.0
bend r3,328.0,100.0,100.0,100.0
bend r3,330.0,100.0,100.0,100.0
bend r3,332.0,100.0,100.0,100.0
bend r3,334.0,100.0,100.0,100.0
bend r3,336.0,100.0,100.0,100.0
bend r3,338.0,100.0,100.0,100.0
bend r3,340.0,100.0,100.0,100.0
bend r3,342.0,100.0,100.0,100.0
bend r4,318.0,100.0,100.0,100.0
bend r4,320.0,100.0,100.0,100.0
bend r4,322.0,100.0,100.0,100.0
bend r4,324.0,100.0,100.0,100.0
bend r4,326.0,100.0,100.0,100.0
bend r4,328.0,100.0,100.0,100.0
bend r4,330.0,100.0,100.0,100.0
bend r4,332.0,100.0,100.0,100.0
bend r4,334.0,100.0,100.0,100.0
bend r4,336.0,100.0,100.0,100.0
bend r4,338.0,100.0,100.0,100.0
bend r4,340.0,100.0,100.0,100.0
bend r4,342.0,100.0,100.0,100.0
bend r6,318.0,0.0,0.0,0.0
bend r6,320.0,0.0,0.0,0.0
bend r6,322.0,33.3,33.3,33.3
bend r6,324.0,33.3,33.3,33.3
bend r6,326.0,66.7,66.7,66.7
bend r6,328.0,100.0,100.0,100.0
bend r6,330.0,100.0,100.0,100.0
bend r6,332.0,100.0,100.0,100.0
bend r6,334.0,100.0,100.0,100.0
bend r6,336.0,100.0,100.0,100.0
bend r6,338.0,100.0,100.0,100.0
bend r6,340.0,100.0,100.0,100.0
bend r6,342.0,100.0,100.0,100.0
bend r7,318.0,0.0,0.0,0.0
bend r7,320.0,0.0,0.0,0.0
bend r7,322.0,0.0,0.0,0.0
bend r7,324.0,0.0,0.0,0.0
bend r7,326.0,0.0,0.0,0.0
bend r7,328.0,33.3,33.3,33.3
bend r7,330.0,66.7,66.7,66.7
bend r7,332.0,66.7,66.7,66.7
bend r7,334.0,100.0,100.0,100.0
bend r7,336.0,100.0,100.0,100.0
bend r7,338.0,100.0,100.0,100.0
bend r7,340.0,100.0,100.0,100.0
bend r7,342.0,100.0,100.0,100.0
bend r8,318.0,0.0,0.0,0.0
bend r8,320.0,0.0,0.0,0.0
bend r8,322.0,0.0,0.0,0.0
bend r8,324.0,0.0,0.0,0.0
bend r8,326.0,0.0,0.0,0.0
bend r8,328.0,0.0,0.0,0.0
bend r8,330.0,0.0,0.0,0.0
bend r8,332.0,33.3,33.3,33.3
bend r8,334.0,33.3,33.3,33.3
bend r8,336.0,66.7,66.7,66.7
bend r8,338.0,66.7,66.7,66.7
bend r8,340.0,100.0,100.0,100.0
bend r8,342.0,100.0,100.0,100.0
bend r11,318.0,0.0,0.0,0.0
bend r11,320.0,0.0,0.0,0.0
bend r11,322.0,0.0,0.0,0.0
bend r11,324.0,0.0,0.0,0.0
bend r11,326.0,0.0,0.0,0.0
bend r11,328.0,0.0,0.0,0.0
bend r11,330.0,0.0,0.0,0.0
bend r11,332.0,0.0,0.0,0.0
bend r11,334.0,0.0,0.0,0.0
bend r11,336.0,0.0,0.0,0.0
bend r11,338.0,0.0,0.0,0.0
bend r11,340.0,0.0,0.0,0.0
bend r11,342.0,0.0,0.0,33.3
bend r12,318.0,0.0,0.0,0.0
bend r12,320.0,0.0,0.0,0.0
bend r12,322.0,0.0,0.0,0.0
bend r12,324.0,0.0,0.0,0.0
bend r12,326.0,0.0,0.0,0.0
bend r12,328.0,0.0,0.0,0.0
bend r12,330.0,0.0,0.0,0.0
bend r12,332.0,0.0,0.0,0.0
bend r12,334.0,0.0,0.0,0.0
bend r12,336.0,0.0,0.0,0.0
bend r12,338.0,0.0,0.0,0.0
bend r12,340.0,0.0,0.0,0.0
bend r12,342.0,0.0,0.0,33.3
bend r13,318.0,0.0,0.0,0.0
bend r13,320.0,0.0,0.0,0.0
bend r13,322.0,0.0,0.0,0.0
bend r13,324.0,0.0,0.0,0.0
bend r13,326.0,0.0,0.0,0.0
bend r13,328.0,0.0,0.0,0.0
bend r13,330.0,0.0,0.0,0.0
bend r13,332.0,0.0,0.0,0.0
bend r13,334.0,0.0,0.0,0.0
bend r13,336.0,0.0,0.0,0.0
bend r13,338.0,0.0,0.0,0.0
bend r13,340.0,0.0,0.0,33.3
bend r13,342.0,0.0,0.0,33.3
bend r14,318.0,0.0,0.0,0.0
bend r14,320.0,0.0,0.0,0.0
bend r14,322.0,0.0,0.0,0.0
bend r14,324.0,0.0,0.0,0.0
bend r14,326.0,0.0,0.0,0.0
bend r14,328.0,0.0,0.0,0.0
bend r14,330.0,0.0,0.0,0.0
bend r14,332.0,0.0,0.0,0.0
bend r14,334.0,0.0,0.0,0.0
bend r14,336.0,0.0,0.0,0.0
bend r14,338.0,0.0,0.0,0.0
bend r14,340.0,0.0,0.0,33.3
bend r14,342.0,0.0,0.0,33.3
bend r15,318.0,0.0,0.0,0.0
bend r15,320.0,0.0,0.0,0.0
bend r15,322.0,0.0,0.0,0.0
bend r15,324.0,0.0,0.0,0.0
bend r15,326.0,0.0,0.0,0.0
bend r15,328.0,0.0,0.0,0.0
bend r15,330.0,0.0,0.0,0.0
bend r15,332.0,0.0,0.0,0.0
bend r15,334.0,0.0,0.0,0.0
bend r15,336.0,0.0,0.0,0.0
bend r15,338.0,0.0,0.0,0.0
bend r15,340.0,0.0,0.0,33.3
bend r15,342.0,0.0,0.0,33.3
bend r16,318.0,0.0,0.0,0.0
bend r16,320.0,0.0,0.0,0.0
bend r16,322.0,0.0,0.0,0.0
bend r16,324.0,0.0,0.0,0.0
bend r16,326.0,0.0,0.0,0.0
bend r16,328.0,0.0,0.0,0.0
bend r16,330.0,0.0,0.0,0.0
bend r16,332.0,0.0,0.0,0.0
bend r16,334.0,0.0,0.0,0.0
bend r16,336.0,0.0,0.0,0.0
bend r16,338.0,0.0,0.0,0.0
bend r16,340.0,0.0,0.0,33.3
bend r16,342.0,0.0,0.0,66.7
bend r17,318.0,0.0,0.0,0.0
bend r17,320.0,0.0,0.0,0.0
bend r17,322.0,0.0,0.0,0.0
bend r17,324.0,0.0,0.0,0.0
bend r17,326.0,0.0,0.0,0.0
bend r17,328.0,0.0,0.0,0.0
bend r17,330.0,0.0,0.0,0.0
bend r17,332.0,0.0,0.0,0.0
bend r17,334.0,0.0,0.0,0.0
bend r17,336.0,0.0,0.0,0.0
bend r17,338.0,0.0,0.0,0.0
bend r17,340.0,0.0,0.0,33.3
bend r17,342.0,0.0,0.0,66.7
bend r18,318.0,0.0,0.0,0.0
bend r18,320.0,0.0,0.0,0.0
bend r18,322.0,0.0,0.0,0.0
bend r18,324.0,0.0,0.0,0.0
bend r18,326.0,0.0,0.0,0.0
bend r18,328.0,0.0,0.0,0.0
bend r18,330.0,0.0,0.0,0.0
bend r18,332.0,0.0,0.0,0.0
bend r18,334.0,0.0,0.0,0.0
bend r18,336.0,0.0,0.0,0.0
bend r18,338.0,0.0,0.0,33.3
bend r18,340.0,0.0,0.0,33.3
bend r18,342.0,0.0,0.0,66.7
south r1,318.0,100.0,100.0,100.0
south r1,320.0,100.0,100.0,100.0
south r1,322.0,100.0,100.0,100.0
south r1,324.0,100.0,100.0,100.0
south r1,326.0,100.0,100.0,100.0
south r1,328.0,100.0,100.0,100.0
south r1,330.0,100.0,100.0,100.0
south r1,332.0,100.0,100.0,100.0
south r1,334.0,100.0,100.0,100.0
south r1,336.0,100.0,100.0,100.0
south r1,338.0,100.0,100.0,100.0
south r1,340.0,100.0,100.0,100.0
south r1,342.0,100.0,100.0,100.0
south r2,318.0,100.0,100.0,100.0
south r2,320.0,100.0,100.0,100.0
south r2,322.0,100.0,100.0,100.0
south r2,324.0,100.0,100.0,100.0
south r2,326.0,100.0,100.0,100.0
south r2,328.0,100.0,100.0,100.0
south r2,330.0,100.0,100.0,100.0
south r2,332.0,100.0,100.0,100.0
south r2,334.0,100.0,100.0,100.0
south r2,336.0,100.0,100.0,100.0
south r2,338.0,100.0,100.0,100.0
south r2,340.0,100.0,100.0,100.0
south r2,342.0,100.0,100.0,100.0
south r3,318.0,100.0,100.0,100.0
south r3,320.0,100.0,100.0,100.0
south r3,322.0,100.0,100.0,100.0
south r3,324.0,100.0,100.0,100.0
south r3,326.0,100.0,100.0,100.0
south r3,328.0,100.0,100.0,100.0
south r3,330.0,100.0,100.0,100.0
south r3,332.0,100.0,100.0,100.0
south r3,334.0,100.0,100.0,100.0
south r3,336.0,100.0,100.0,100.0
south r3,338.0,100.0,100.0,100.0
south r3,340.0,100.0,100.0,100.0
south r3,342.0,100.0,100.0,100.0
south r4,318.0,100.0,100.0,100.0
south r4,320.0,100.0,100.0,100.0
south r4,322.0,100.0,100.0,100.0
south r4,324.0,100.0,100.0,100.0
south r4,326.0,100.0,100.0,100.0
south r4,328.0,100.0,100.0,100.0
south r4,330.0,100.0,100.0,100.0
south r4,332.0,100.0,100.0,100.0
south r4,334.0,100.0,100.0,100.0
south r4,336.0,100.0,100.0,100.0
south r4,338.0,100.0,100.0,100.0
south r4,340.0,100.0,100.0,100.0
south r4,342.0,100.0,100.0,100.0
south r6,318.0,0.0,0.0,0.0
south r6,320.0,0.0,0.0,0.0
south r6,322.0,0.0,0.0,0.0
south r6,324.0,0.0,0.0,0.0
south r6,326.0,0.0,0.0,0.0
south r6,328.0,0.0,0.0,0.0
south r6,330.0,0.0,0.0,0.0
south r6,332.0,0.0,0.0,0.0
south r6,334.0,0.0,0.0,0.0
south r6,336.0,0.0,0.0,0.0
south r6,338.0,33.3,33.3,33.3
south r6,340.0,33.3,33.3,33.3
south r6,342.0,66.7,66.7,66.7
south r7,318.0,0.0,0.0,0.0
south r7,320.0,0.0,0.0,0.0
south r7,322.0,0.0,0.0,0.0
south r7,324.0,0.0,0.0,0.0
south r7,326.0,0.0,0.0,0.0
south r7,328.0,0.0,0.0,0.0
south r7,330.0,0.0,0.0,0.0
south r7,332.0,0.0,0.0,0.0
south r7,334.0,0.0,0.0,0.0
south r7,336.0,0.0,0.0,0.0
south r7,338.0,0.0,0.0,0.0
south r7,340.0,0.0,0.0,0.0
south r7,342.0,0.0,0.0,0.0
south r8,318.0,0.0,0.0,0.0
south r8,320.0,0.0,0.0,0.0
south r8,322.0,0.0,0.0,0.0
south r8,324.0,0.0,0.0,0.0
south r8,326.0,0.0,0.0,0.0
south r8,328.0,0.0,0.0,0.0
south r8,330.0,0.0,0.0,0.0
south r8,332.0,0.0,0.0,0.0
south r8,334.0,0.0,0.0,0.0
south r8,336.0,0.0,0.0,0.0
south r8,338.0,0.0,0.0,0.0
south r8,340.0,0.0,0.0,0.0
south r8,342.0,0.0,0.0,0.0
south r11,318.0,0.0,0.0,0.0
south r11,320.0,0.0,0.0,0.0
south r11,322.0,0.0,0.0,0.0
south r11,324.0,0.0,0.0,0.0
south r11,326.0,0.0,0.0,0.0
south r11,328.0,0.0,0.0,0.0
south r11,330.0,0.0,0.0,0.0
south r11,332.0,0.0,0.0,0.0
south r11,334.0,0.0,0.0,0.0
south r11,336.0,0.0,0.0,0.0
south r11,338.0,0.0,0.0,0.0
south r11,340.0,0.0,0.0,0.0
south r11,342.0,0.0,0.0,0.0
south r12,318.0,0.0,0.0,0.0
south r12,320.0,0.0,0.0,0.0
south r12,322.0,0.0,0.0,0.0
south r12,324.0,0.0,0.0,0.0
south r12,326.0,0.0,0.0,0.0
south r12,328.0,0.0,0.0,0.0
south r12,330.0,0.0,0.0,0.0
south r12,332.0,0.0,0.0,0.0
south r12,334.0,0.0,0.0,0.0
south r12,336.0,0.0,0.0,0.0
south r12,338.0,0.0,0.0,0.0
south r12,340.0,0.0,0.0,0.0
south r12,342.0,0.0,0.0,0.0
south r13,318.0,0.0,0.0,0.0
south r13,320.0,0.0,0.0,0.0
south r13,322.0,0.0,0.0,0.0
south r13,324.0,0.0,0.0,0.0
south r13,326.0,0.0,0.0,0.0
south r13,328.0,0.0,0.0,0.0
south r13,330.0,0.0,0.0,0.0
south r13,332.0,0.0,0.0,0.0
south r13,334.0,0.0,0.0,0.0
south r13,336.0,0.0,0.0,0.0
south r13,338.0,0.0,0.0,0.0
south r13,340.0,0.0,0.0,0.0
south r13,342.0,0.0,0.0,0.0
south r14,318.0,0.0,0.0,0.0
south r14,320.0,0.0,0.0,0.0
south r14,322.0,0.0,0.0,0.0
south r14,324.0,0.0,0.0,0.0
south r14,326.0,0.0,0.0,0.0
south r14,328.0,0.0,0.0,0.0
south r14,330.0,0.0,0.0,0.0
south r14,332.0,0.0,0.0,0.0
south r14,334.0,0.0,0.0,0.0
south r14,336.0,0.0,0.0,0.0
