osm_id,name,type,area_m2,dist_m,az_deg,axis_off_deg,axis_along_m,axis_perp_m,ue_x_N_cm,ue_y_E_cm,live_roof_Z_m,dem_grade_Z_m,height_AGL_m,verdict
651240042,,yes,81.6,633.7,135.2,165.2,-612.7,161.7,-46694,45634,,,,
580285450,,yes,81.3,513.6,277.8,-52.2,314.9,405.7,5269,-49892,,,,
613101573,,yes,81.3,419.7,124.4,154.4,-378.7,181.1,-25455,35607,,,,
583389786,,yes,80.9,604.0,234.1,-95.9,-62.6,600.8,-37175,-47910,,,,
651342775,,yes,80.9,641.2,121.8,151.8,-565.2,302.8,-35519,55476,,,,
616472465,,yes,80.8,581.6,207.9,-122.1,-309.0,492.7,-53109,-26231,,,,
646829303,,yes,80.6,556.6,143.8,173.8,-553.3,59.9,-46638,33847,,,,
651240067,,yes,80.4,581.5,127.6,157.6,-537.7,221.4,-37206,47051,,,,
646863796,,yes,80.1,551.4,63.5,93.5,-33.5,550.4,22905,50330,,,,
584329051,,yes,79.9,205.8,233.6,-96.4,-23.1,204.5,-13940,-15566,,,,
647439400,,yes,79.7,624.7,70.1,100.1,-109.6,615.0,19543,59728,,,,
580285495,,yes,79.6,618.9,274.8,-55.2,353.1,508.2,3451,-60679,,,,
647439409,,yes,77.7,657.1,71.1,101.1,-126.9,644.8,19532,63175,,,,
645291969,,yes,77.6,704.2,158.6,-171.4,-696.4,104.8,-67263,26738,,,,
584329056,,yes,77.1,115.7,182.8,-147.2,-97.3,62.7,-13272,426,,,,
651342734,,yes,77.1,563.8,112.0,142.0,-444.5,346.9,-22868,53256,,,,
581704382,,yes,76.9,384.7,165.3,-164.7,-371.2,101.3,-38925,10775,,,,
646829289,,yes,76.8,521.6,149.0,179.0,-521.5,9.4,-46409,27884,,,,
646829288,,yes,76.1,515.3,150.2,-179.8,-515.3,1.6,-46426,26618,,,,
649119732,,yes,75.3,669.4,89.7,119.7,-331.2,581.7,-1314,67927,,,,
641205175,,yes,74.6,720.5,181.9,-148.1,-611.4,381.2,-73725,-1451,,,,
643459099,,yes,74.4,712.7,206.3,-123.7,-395.8,592.7,-65627,-30550,,,,
647439394,,yes,74.2,632.8,67.8,97.8,-86.4,626.9,22151,59601,,,,
651233555,,yes,74.1,718.7,100.1,130.1,-462.8,549.9,-14297,71756,,,,
646829268,,yes,74.0,567.5,153.5,-176.5,-566.5,34.4,-52497,26334,,,,
646863795,,yes,74.0,558.7,62.4,92.4,-23.7,558.2,24138,50514,,,,
582112937,,yes,73.8,589.8,243.8,-86.2,39.0,588.5,-27760,-51930,,,,
649119700,,yes,72.6,590.2,89.5,119.5,-290.8,513.5,-1224,60005,,,,
582112870,,yes,72.2,448.7,249.7,-80.3,75.9,442.3,-17258,-41103,,,,
649119708,,yes,72.1,589.3,90.4,120.4,-298.3,508.2,-2137,59915,,,,
599966101,,stadium,72.0,247.4,13.9,43.9,178.2,171.7,22299,6954,,,,
649119726,,yes,71.7,691.6,90.5,120.5,-350.5,596.2,-2260,70150,,,,
641212192,,yes,71.2,470.1,116.8,146.8,-393.5,257.3,-22927,42947,,,,
651240044,,yes,71.2,683.4,131.0,161.0,-646.1,222.6,-46544,52574,,,,
584329049,,yes,70.9,188.9,233.6,-96.4,-21.1,187.8,-12932,-14214,,,,
646829301,,yes,70.9,571.0,141.3,171.3,-564.3,86.8,-46249,36722,,,,
646829254,,yes,70.8,668.3,152.6,-177.4,-667.6,30.0,-61031,31775,,,,
581704383,,yes,70.4,216.6,171.5,-158.5,-201.6,79.3,-23138,4207,,,,
609308565,,yes,68.9,376.8,199.4,-130.6,-245.1,286.2,-37253,-11540,,,,
582112881,,yes,68.8,467.0,244.7,-85.3,38.2,465.5,-21678,-41233,,,,
582112950,,yes,68.7,684.5,246.9,-83.1,82.1,679.6,-28582,-61969,,,,
651240030,,yes,68.6,665.2,140.5,170.5,-656.2,109.4,-53073,43271,,,,
646829249,,yes,68.4,671.2,147.4,177.4,-670.5,30.7,-58247,37171,,,,
582112879,,yes,67.4,458.4,247.2,-82.8,57.1,454.8,-19515,-41254,,,,
645291973,,yes,67.4,749.2,163.1,-166.9,-729.8,169.3,-73387,22822,,,,
583389783,,yes,67.2,654.6,234.4,-95.6,-63.6,651.5,-39799,-52254,,,,
663563654,,yes,67.1,382.9,127.2,157.2,-353.0,148.4,-24872,31491,,,,
643526579,,yes,66.8,734.0,211.5,-118.5,-350.1,645.1,-64294,-37371,,,,
649596983,,yes,66.8,723.9,98.7,128.7,-452.9,564.7,-12706,72537,,,,
580294785,,yes,66.4,489.0,257.8,-72.2,149.7,465.5,-12023,-46810,,,,
649119735,,yes,66.3,689.8,88.8,118.8,-332.8,604.2,-321,69957,,,,
646863810,,yes,66.2,555.0,67.3,97.3,-70.4,550.5,19709,52187,,,,
651342791,,yes,65.9,726.8,109.4,139.4,-551.5,473.4,-25805,69565,,,,
651240070,,yes,64.9,568.7,125.0,155.0,-515.6,239.9,-34373,47544,,,,
580294790,,yes,64.5,411.6,253.8,-76.2,98.1,399.7,-13205,-38531,,,,
580294800,,yes,64.3,559.5,256.4,-73.6,157.7,536.8,-14898,-53380,,,,
583389791,,yes,64.0,569.2,232.5,-97.5,-74.0,564.4,-36347,-44186,,,,
651233535,,yes,63.9,567.9,102.2,132.2,-381.4,420.7,-13712,56499,,,,
651342774,,yes,63.1,633.4,122.2,152.2,-560.1,295.8,-35437,54611,,,,
641212197,,yes,62.8,510.3,117.5,147.5,-430.5,274.0,-25296,46244,,,,
647439430,,yes,62.1,673.8,82.9,112.9,-262.3,620.6,6604,67853,,,,
584329048,,yes,61.3,168.0,230.1,-99.9,-28.9,165.5,-12495,-11893,,,,
641212208,,yes,61.0,512.9,73.8,103.8,-122.0,498.2,12631,50237,,,,
649119731,,yes,60.9,655.8,90.8,120.8,-335.7,563.3,-2626,66560,,,,
651240079,,yes,60.9,522.2,129.9,159.9,-490.5,179.3,-35231,41042,,,,
649596966,,yes,60.8,597.6,100.2,130.2,-385.9,456.4,-12318,59807,,,,
641205178,,yes,60.4,690.6,180.7,-149.3,-593.5,353.1,-70766,89,,,,
651233536,,yes,60.3,576.6,102.0,132.0,-386.1,428.3,-13735,57386,,,,
646829287,,yes,59.7,510.4,151.2,-178.8,-510.3,10.7,-46444,25575,,,,
651342737,,yes,59.7,608.4,111.5,141.5,-475.9,378.9,-23985,57604,,,,
593952804,,yes,59.6,253.2,213.2,-116.8,-114.1,226.0,-22898,-12878,,,,
609308520,,yes,59.0,370.4,216.8,-113.2,-145.8,340.5,-31367,-21208,,,,
651342736,,yes,58.6,590.1,111.9,141.9,-464.6,363.8,-23762,55723,,,,
584329039,,yes,58.3,171.8,238.2,-91.8,-5.5,171.8,-10781,-13608,,,,
675533444,,grandstand,57.9,260.9,20.5,50.5,165.9,201.4,22721,10141,,,,
649119706,,yes,57.6,607.7,90.7,120.7,-310.1,522.7,-2442,61761,,,,
647439420,,yes,57.5,636.1,81.6,111.6,-233.8,591.6,7620,63914,,,,
647439434,,yes,56.8,722.4,83.1,113.1,-282.9,664.7,7023,72699,,,,
651342787,,yes,56.8,749.5,107.4,137.4,-551.7,507.3,-24133,72509,,,,
581704380,,yes,56.7,394.6,160.9,-169.1,-387.5,74.8,-39014,13883,,,,
651240080,,yes,55.5,536.1,129.1,159.1,-500.7,191.6,-35497,42623,,,,
580285460,,yes,55.4,395.0,276.1,-53.9,232.5,319.3,2452,-38285,,,,
649596976,,yes,55.3,663.3,99.2,129.2,-418.8,514.3,-12269,66474,,,,
646829263,,yes,54.7,626.8,159.8,-170.2,-617.6,107.2,-60560,22590,,,,
643459096,,yes,54.5,655.5,205.7,-124.3,-369.7,541.3,-60796,-27399,,,,
583092178,,yes,54.2,699.0,247.9,-82.1,95.5,692.4,-28064,-63753,,,,
646863818,,yes,53.8,509.3,90.6,120.6,-259.3,438.3,-2257,51913,,,,
643459095,,yes,53.7,670.5,206.3,-123.7,-372.4,557.5,-61847,-28673,,,,
