feature_id,kind,section,design_elev_ft,terrain_min_ft,terrain_mean_ft,terrain_max_ft,delta_min_ft,delta_max_ft,protrusion_max_ft,protrusion_cells,riser_step_cells,depression_max_ft,depression_cells,footprint_cells,operation,cut_cy,fill_cy,note
tread_south_r18,seating_tread,south,633.67,632.3,633.63,635.0,-1.37,1.33,1.33,55,34,0.0,0,465,cut,1.66,0.0,
zone_cross_aisle,cross_aisle,,622.01,619.3,621.89,623.4,-2.71,1.39,1.05,38,178,0.0,0,1661,cut,0.86,0.0,
zone_stage_core,stage_structure,,612.5,608.28,609.78,610.22,-4.22,-2.28,0.0,0,0,4.22,2379,2522,fill,0.0,239.12,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.78 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
zone_stage_shoulder_left,stage_structure,,612.5,608.32,609.65,611.01,-4.18,-1.49,0.0,0,13,4.18,338,403,fill,0.0,36.52,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.65 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
zone_stage_shoulder_right,stage_structure,,612.5,609.54,609.77,610.08,-2.96,-2.42,0.0,0,0,2.96,349,409,fill,0.0,35.35,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.77 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
zone_orchestra_event_floor,event_floor,,612.5,609.37,609.94,611.86,-3.13,-0.64,0.0,0,134,3.13,2118,2436,fill,0.0,208.03,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.94 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
ada_route_arrival_to_cross_aisle,ada_route,public_primary,,619.31,629.29,638.88,,,,,,,,3350,corridor_regrade_concept,,,sloped corridor; design grade 4.19% drop 15.3 ft over 365.3 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_arrival_to_floor,ada_route,public_secondary,,608.2,625.53,638.88,,,,,,,,3090,corridor_regrade_concept,,,sloped corridor; design grade 7.52% drop 24.8 ft over 330.1 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_cross_aisle_to_wc_cluster,ada_route,distribution,,620.73,622.41,623.4,,,,,,,,212,corridor_regrade_concept,,,sloped corridor; design grade 0.0% drop 0.0 ft over 15.3 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_floor_to_wc_cluster,ada_route,distribution,,609.44,609.72,610.39,,,,,,,,196,corridor_regrade_concept,,,sloped corridor; design grade 0.0% drop 0.0 ft over 14.0 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_cross_aisle_to_egress,ada_route,public_secondary,,618.02,629.41,640.45,,,,,,,,4073,corridor_regrade_concept,,,sloped corridor; design grade 3.85% drop -16.9 ft over 439.6 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_floor_to_egress,ada_route,public_secondary,,608.31,629.44,640.56,,,,,,,,3958,corridor_regrade_concept,,,sloped corridor; design grade 6.18% drop -26.4 ft over 427.6 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_service_to_stage,ada_route,service,,609.48,609.61,610.0,,,,,,,,171,corridor_regrade_concept,,,sloped corridor; design grade 0.0% drop 0.0 ft over 10.8 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_park_to_floor,ada_route,public_primary,,608.22,611.61,618.06,,,,,,,,2338,corridor_regrade_concept,,,sloped corridor; design grade 2.14% drop 5.3 ft over 246.2 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
